招聘名称,发布时间,招聘信息
"牙技师(齿模）助理班,加州政府监管执照学校,CAD/CAM 电脑制作班,6262159128",发布于: 2017/02/11   9:46 am,"求职,全职,文职人员,Rowland Heights周边地区"
"快速转行,高薪就业,小白也能变专家,留学生 OPT,H1B 高薪留美",发布于: 2020/09/17   1:13 pm,"招聘,实习生,电脑相关,大学周边地区,LaneCert Education Group,1455 Monterey Pass Rd #206 Monterey Park CA,是"
"诚聘:经理助理(加州仓/亚特兰大仓)/仓库主管（达拉斯仓),库存专员,仓库工作人员(会开叉车）,收发货人员（欢迎OPT,H1B）",发布于: 2021/11/01   1:37 pm,"招聘,全职,仓库,其他地区,YITA LLC,3990 S Riverside Ave, Colton, CA 92324,否"
百年企业诚征 - 销售规划顾问,发布于: 2018/06/25   10:59 am,"招聘,全职,销售,San Gabriel周边地区,福樂紀念公園 Forest Lawn,是"
车缝工/ 打印员/ 产线工 / 接受OPT / 项目经理 / CMO/ HR /客服双语 等多职位,发布于: 2021/08/05   11:09 am,"招聘,全职,其他,Rowland Heights周边地区,广告印刷公司,462 S HUMANE WAY POMONA CA,否"
无年龄限制 无英文要求 全美急需大量美发美甲美容相关人才 0基础包教包会,发布于: 2022/09/08   10:04 pm,"招聘,其他,其他,Rowland Heights周边地区,VR 美容美发学院  VR美发沙龙,1600 s azusa ave 242 city of industry Ca 91748 （puente hills mall 内一楼 Ross 对面 ）,是"
寻求送包裹的车队,发布于: 2022/06/06   12:12 am,"招聘,其他,其他,San Gabriel周边地区,大型快递公司,Compton California,否"
"比特币矿场运维工程师,月薪$5000起包住和餐补",发布于: 2022/04/25   10:58 am,"招聘,全职,其他,其他地区,KB3 Blockchain INC,否"
"Yu Cake诚聘,烘焙师,社媒运营,甜品,前台,店长",发布于: 2023/03/19   5:41 pm,"招聘,全职,餐厅,San Gabriel周边地区"
大型物流公司多岗位招聘 Operation / 仓库工人,发布于: 2023/03/16   3:17 pm,"招聘,全职,文职人员,其他地区,跨境物流电商公司,1111 W Artisia Blvd Compton CA,否"
