房屋名称,房屋大小,房屋具体位置,房屋每平米价格
郑州华侨城,—95~143平米,[三至四环]二七郑密路南三环交叉口往南2000米路东,12000元/每平方米
保利缦城和颂,—98~168平米,金水金水区花园路贾鲁河交汇处,价格待定
保利和光屿湖,—90~140平米,高新双湖科技城创新大道与青梅街交叉口向东100米路北,11500元/每平方米
朗悦公园府,—89~137平米,[三至四环]高新梧桐街与雪松路交叉口西北角,16000元/每平方米
保利上城,—96~129平米,二七南三环与郑密路向南2000米,10000元/每平方米
敏捷·江山誉,—109~152平米,[二至三环]金水未来路纬四路交叉口向西100米路北,23500元/每平方米
金地和樾春晓,—92~130平米,[五环以外]新郑郑新快速路与祥和路交叉口东北角,8000元/每平方米
招商·时代锦宸,—95~129平米,[三至四环]惠济三全路与江山路交会处(地铁4号线 老鸦陈站)向北150米路西,15400元/每平方米
龙湖熙上,—103~139平米,[三至四环]管城金岱路鼎瑞街交叉口地铁4号线姚庄站旁,13000元/每平方米
华润郑东万象城·幸福里,—149~270平米,[三至四环]郑东新区金水东路东风南路,28000元/每平方米
越秀·金悦文华,—102~142平米,[三至四环]金水文化路与龙门路交会处向东500米,18000元/每平方米
美盛·金水印,—108~165平米,[三至四环]金水渠东路与北三环交汇处,23000元/每平方米
崇信·凤凰悦府,—158~188平米,管城凤凰路与东明路交叉口西南角,19000元/每平方米
招商美景·雍瑞园,—130~143平米,[三至四环]惠济文化路与大河路交汇处东500米,19000元/每平方米
中原华侨城,—87~136平米,[四至五环]中原中原西路西四环,9000元/每平方米
新城时光印象,—98~143平米,[三至四环]管城南三环文治路南500米,16500元/每平方米
亚新星云湾,—168~238平米,[二至三环]郑东新区九如东路与龙湖中环路东南,价格待定
高新·和锦莲序,—89~140平米,[四至五环]高新莲花街与美杨路交汇处东南角,11500元/每平方米
招商·时代天宸,—95~143平米,惠济三全路与江山路交叉口向东200米,17000元/每平方米
保利缦城和颂,—98~168平米,金水金水区花园路贾鲁河交汇处,价格待定
郑州华侨城,—95~143平米,[三至四环]二七郑密路南三环交叉口往南2000米路东,12000元/每平方米
保利和光屿湖,—90~140平米,高新双湖科技城创新大道与青梅街交叉口向东100米路北,11500元/每平方米
朗悦公园府,—89~137平米,[三至四环]高新梧桐街与雪松路交叉口西北角,16000元/每平方米
保利上城,—96~129平米,二七南三环与郑密路向南2000米,10000元/每平方米
敏捷·江山誉,—109~152平米,[二至三环]金水未来路纬四路交叉口向西100米路北,23500元/每平方米
金地和樾春晓,—92~130平米,[五环以外]新郑郑新快速路与祥和路交叉口东北角,8000元/每平方米
招商·时代锦宸,—95~129平米,[三至四环]惠济三全路与江山路交会处(地铁4号线 老鸦陈站)向北150米路西,15400元/每平方米
龙湖熙上,—103~139平米,[三至四环]管城金岱路鼎瑞街交叉口地铁4号线姚庄站旁,13000元/每平方米
华润郑东万象城·幸福里,—149~270平米,[三至四环]郑东新区金水东路东风南路,28000元/每平方米
越秀·金悦文华,—102~142平米,[三至四环]金水文化路与龙门路交会处向东500米,18000元/每平方米
美盛·金水印,—108~165平米,[三至四环]金水渠东路与北三环交汇处,23000元/每平方米
崇信·凤凰悦府,—158~188平米,管城凤凰路与东明路交叉口西南角,19000元/每平方米
招商美景·雍瑞园,—130~143平米,[三至四环]惠济文化路与大河路交汇处东500米,19000元/每平方米
中原华侨城,—87~136平米,[四至五环]中原中原西路西四环,9000元/每平方米
新城时光印象,—98~143平米,[三至四环]管城南三环文治路南500米,16500元/每平方米
亚新星云湾,—168~238平米,[二至三环]郑东新区九如东路与龙湖中环路东南,价格待定
高新·和锦莲序,—89~140平米,[四至五环]高新莲花街与美杨路交汇处东南角,11500元/每平方米
招商·时代天宸,—95~143平米,惠济三全路与江山路交叉口向东200米,17000元/每平方米
